#Latin name	Filename (NCBI Taxonomy ID)
Acis nicaeensis	197680
Acis rosea	197681
Acis tingitana	197682
Acis valentina	197684
Acomys cahirinus	10068
Aconitum latent virus	101764
Acorus americanus	263995
Acremonium cellulolyticus Y-94	87693
Acremonium chrysogenum	5044
Acremonium implicatum	181075
Acremonium murorum	45278
Acremonium sp. F11177	443225
Acremonium sp. HI-25	159120
Acremonium sp. No.413	116607
Acremonium strictum	5046
Acrocephalus arundinaceus	39621
Acrolepiopsis assectella	57686
Acrophialophora nainiana	389488
Acropora aculeus	287157
Acropora donei	34495
Acropora formosa	126732
Acropora hyacinthus	55974
Acropora millepora	45264
Acropora nobilis	70781
Acropora sp. #30	258444
Acropora tenuis	70783
Acrosiphonia duriuscula	138170
Actias selene	37776
Actineria villosa	227975
Actinia equina	6106
Actinia sp. UST-01	157108
Actinidia arguta	64478
Actinidia chinensis	3625
Actinidia deliciosa	3627
Actinidia eriantha	165200
Actinobacillus cf. equuli	182091
Actinobacillus equuli	718
Actinobacillus equuli subsp. haemolyticus	202948
Actinobacillus lignieresii	720
Actinobacillus pleuropneumoniae	715
Actinobacillus pleuropneumoniae L20	416269
Actinobacillus pleuropneumoniae serovar 1	40325
Actinobacillus pleuropneumoniae serovar 7	209841
Actinobacillus porcitonsillarum	189834
Actinobacillus sp.	41114
Actinobacillus succinogenes	67854
Actinobacillus succinogenes 130Z	339671
Actinobacillus suis	716
Actinomadura hibisca	68565
Actinomadura madurae	1993
Actinomadura melliaura	360723
Actinomadura verrucosospora	46165
Actinomyces naeslundii	1655
Actinomyces odontolyticus	1660
Actinomyces phage Av-1	338473
Actinomyces sp. Lu 9419	416175
Actinomyces viscosus	1656
Actinoplanes friuliensis	196914
Actinoplanes missouriensis	1866
Actinoplanes phage phiAsp2	279303
Actinoplanes sp. A40644	236489
Actinoplanes sp. ATCC 33002	196196
Actinoplanes teichomyceticus	1867
Actinoplanes utahensis	1869
Actinopolyspora halophila	1850
Actinosynnema pretiosum subsp. auranticum	42198
Acute bee paralysis virus	92444
Acyrthosiphon kondoi endosymbiont	42474
Acyrthosiphon pisum	7029
Acyrthosiphon pisum secondary endosymbiont phage 1	67571
Acyrthosiphon pisum secondary endosymbiont phage 2	340054
Acyrthosiphon pisum virus	340187
Adamsia carciniopados	176094
Adelaide River virus	31612
Adelostemma gracillimum	335289
Adeno-associated virus	272636
Adeno-associated virus - 1	85106
Adeno-associated virus - 2	10804
Adeno-associated virus - 3	46350
Adeno-associated virus - 4	57579
Adeno-associated virus - 5	82300
Adeno-associated virus - 7	202812
Adeno-associated virus - 8	202813
Adeno-associated virus 10	235456
Adeno-associated virus 11	235457
Adeno-associated virus 3B	68742
Adeno-associated virus 6	68558
Adeno-associated virus 9	235455
Adeno-associated virus VR-195	348794
Adeno-associated virus VR-355	348795
Adeno-associated virus-Go.1	296148
Adiantum capillus-veneris	13818
Adineta ricciae	249248
Adineta vaga	104782
Adonis aestivalis	113211
Adonis aestivalis var. palaestina	151078
Adoxophyes honmai NPV	224399
Adoxophyes honmai granulovirus	157825
Adoxophyes orana granulovirus	170617
Adoxophyes sp. KSB-2001	165538
Adult diarrheal rotavirus	12705
Adult diarrheal rotavirus strain J19	335103
Aedes aegypti	7159
Aedes albopictus	7160
Aedes albopictus C6/36 cell densovirus	194675
